Version,1_Secs,2_Secs,3_Secs,4_Secs,5_Secs,6_Secs,7_Secs,8_Secs,9_Secs,10_Secs
Codec10,0.292,0.257,0.290,0.262,0.282,0.273,0.251,0.287,0.249,0.274
Codec11,0.340,0.315,0.328,0.330,0.287,0.321,0.319,0.315,0.326,0.312
Codec12,0.397,0.360,0.347,0.338,0.345,0.347,0.353,0.348,0.341,0.360
Codec13,0.461,0.472,0.397,0.389,0.406,0.394,0.462,0.394,0.395,0.452
Codec14,0.457,0.464,0.445,0.739,0.458,0.457,0.448,0.466,0.435,0.462
Codec15,0.484,0.496,0.478,0.542,0.804,0.428,0.508,0.491,0.508,0.480
Codec16,0.514,0.488,0.522,0.443,0.511,0.507,0.489,0.496,0.502,0.539
Codec17,0.661,0.547,0.594,0.572,0.516,0.589,0.545,0.574,0.562,0.584
Codec18,0.585,0.562,0.565,0.573,0.559,0.558,0.576,0.589,0.549,0.575
Codec1,0.177,0.175,0.169,0.173,0.177,0.164,0.185,0.173,0.169,0.176
Codec2,0.198,0.164,0.686,0.187,0.178,0.189,0.180,0.169,0.185,0.178
Codec3,0.254,0.224,0.240,0.218,0.215,0.237,0.237,0.230,0.221,0.255
Codec4,0.258,0.257,0.241,0.237,0.258,0.236,0.231,0.248,0.235,0.243
Codec5,0.248,0.229,0.240,0.253,0.235,0.218,0.235,0.248,0.213,0.261
Codec6,0.260,0.253,0.235,0.243,0.245,0.262,0.246,0.250,0.242,0.262
Codec7,0.260,0.258,0.251,0.257,0.240,0.236,0.249,0.251,0.227,0.255
Codec8,0.275,0.262,0.246,0.244,0.244,0.227,0.220,0.249,0.254,0.265
Codec9,0.266,0.239,0.259,0.274,0.241,0.290,0.262,0.240,0.270,0.225
