Version,TotalSeconds
Lang10,73.396
Lang11,71.950
Lang12,74.804
Lang13,74.223
Lang14,71.348
Lang15,66.619
Lang16,65.983
Lang17,60.669
Lang18,61.252
Lang19,59.918
Lang1,81.872
Lang20,59.814
Lang21,56.121
Lang22,53.464
Lang23,55.579
Lang24,54.839
Lang25,54.512
Lang26,53.403
Lang27,53.421
Lang28,50.902
Lang29,51.158
Lang30,50.100
Lang31,54.849
Lang32,51.701
Lang33,51.106
Lang34,52.974
Lang35,49.969
Lang36,48.990
Lang37,50.337
Lang38,50.826
Lang39,58.782
Lang3,76.004
Lang40,57.379
Lang41,60.610
Lang42,65.410
Lang43,65.049
Lang44,64.383
Lang45,63.482
Lang46,60.686
Lang47,61.441
Lang48,55.599
Lang49,56.823
Lang4,94.424
Lang50,58.088
Lang51,56.670
Lang52,55.064
Lang53,54.043
Lang54,53.523
Lang55,54.656
Lang56,53.555
Lang57,52.775
Lang58,53.533
Lang59,52.916
Lang5,97.338
Lang60,52.646
Lang61,53.932
Lang62,54.063
Lang63,54.701
Lang64,53.605
Lang65,53.808
Lang6,97.649
Lang7,102.370
Lang8,99.640
Lang9,97.154
